aardvark, UKPRON, ˈɑːd.vɑːk
absolve, UKPRON, əbˈzɒlv
absolves, REF, absolve
absolve, UKPRON, əbˈzɒlv
absolving, REF, absolve
absolve, UKPRON, əbˈzɒlv
absorb, UKPRON, əbˈzɔːb
absorbed, UKPRON, əbˈzɔːbd
absorbency, UKPRON, əbˈzɔː.bən.si
absorbent, UKPRON, əbˈzɔː.bənt
absorber, REF, shock-absorber
shock-absorber, UKPRON, ˈʃɒk əbˌzɔː.bər
absorbers, REF, shock-absorber
shock-absorber, UKPRON, ˈʃɒk əbˌzɔː.bər
absorbing, UKPRON, əbˈzɔː.bɪŋ
absorbingly, NA, Not in dictionary
absorbs, REF, absorb
absorb, UKPRON, əbˈzɔːb
absorption, UKPRON, əbˈzɔːp.ʃən
absorptions, NA, Not in dictionary
absorptive, UKPRON, əbˈzɔːp.tɪv
absorptivity, REF, molar-absorptivity
molar-absorptivity, NA, Not in dictionary
abstain, UKPRON, æbˈsteɪn
abstained, REF, abstain
abstain, UKPRON, æbˈsteɪn
abstainer, UKPRON, æbˈsteɪ.nər
abstainers, REF, abstainer
abstainer, UKPRON, æbˈsteɪ.nər
abstaining, REF, abstain
abstain, UKPRON, æbˈsteɪn
abstains, REF, abstain
abstain, UKPRON, æbˈsteɪn
abstemious, UKPRON, æbˈstiː.mi.əs
abstemiously, UKPRON, æbˈstiː.mi.əs.li
abstemiousness, NA, Not in dictionary
abstention, UKPRON, æbˈsten.ʃən
abstentions, REF, abstention
abstention, UKPRON, æbˈsten.ʃən
abstinence, UKPRON, ˈæb.stɪ.nəns
abstinent, UKPRON, ˈæb.stɪ.nənt
abstract, UKPRON, ˈæb.strækt
abstracted, UKPRON, æbˈstræk.tɪd
abstractedly, UKPRON, æbˈstræk.tɪd.li
abstracting, NA, Not in dictionary
abstraction, UKPRON, æbˈstræk.ʃən
abstractions, REF, abstraction
abstraction, UKPRON, æbˈstræk.ʃən
abstractly, UKPRON, ˈæb.strækt.li
abstracts, REF, abstract
abstract, UKPRON, ˈæb.strækt
abstruse, UKPRON, æbˈstruːs
abstrusely, NA, Not in dictionary
absurd, UKPRON, əbˈsɜːd
absurder, NA, Not in dictionary
absurdest, NA, Not in dictionary
absurdist, NA, Not in dictionary
absurdities, REF, absurdity
absurdity, UKPRON, əbˈzɜː.dɪ.ti
absurdity, UKPRON, əbˈzɜː.dɪ.ti
absurdly, UKPRON, əbˈsɜːd.li
abundance, UKPRON, əˈbʌn.dəns
abundances, REF, abundance
abundance, UKPRON, əˈbʌn.dəns
abundant, UKPRON, əˈbʌn.dənt
abundantly, UKPRON, əˈbʌn.dənt.li
abuse, UKPRON, əˈbjuːz
abused, REF, abuse
abuse, UKPRON, əˈbjuːz
abuser, UKPRON, əˈbjuː.zər
abusers, REF, abuser
abuser, UKPRON, əˈbjuː.zər
abuses, REF, abuse
abuse, UKPRON, əˈbjuːz
abusing, REF, abuse
abuse, UKPRON, əˈbjuːz
abusive, UKPRON, əˈbjuː.sɪv
abusively, NA, Not in dictionary
abusiveness, NA, Not in dictionary
abut, UKPRON, əˈbʌt
abutment, UKPRON, əˈbʌt.mənt
abutments, REF, abutment
abutment, UKPRON, əˈbʌt.mənt
abutted, REF, abut
abut, UKPRON, əˈbʌt
abutting, REF, abut
abut, UKPRON, əˈbʌt
abuzz, UKPRON, əˈbʌz
aby, NA, Not in dictionary
abysmal, UKPRON, əˈbɪz.məl
abysmally, UKPRON, əˈbɪz.məl.i
abyss, UKPRON, əˈbɪs
abyssal, UKPRON, əˈbɪs.əl
abysses, REF, abyss
abyss, UKPRON, əˈbɪs
acacia, UKPRON, əˈkeɪ.ʃə
academe, UKPRON, ˈæk.ə.diːm
academia, UKPRON, ˌæk.əˈdiː.mi.ə
academic, UKPRON, ˌæk.əˈdem.ɪk
academical, NA, Not in dictionary
academically, UKPRON, ˌæk.əˈdem.ɪ.kəl.i
academician, REF, academic
academic, UKPRON, ˌæk.əˈdem.ɪk
academician, UKPRON, əˌkæd.əˈmɪʃ.ən
academicians, REF, academician
academician, REF, academic
academic, UKPRON, ˌæk.əˈdem.ɪk
academician, UKPRON, əˌkæd.əˈmɪʃ.ən
academics, NA, No UK prononciation
academies, REF, academy
academy, UKPRON, əˈkæd.ə.mi
academy, UKPRON, əˈkæd.ə.mi
acanthus, NA, Not in dictionary
acapulco, NA, Not in dictionary
accede, REF, accede-to-sth
accede-to-sth, UKPRON, əkˈsiːd
acceded, REF, accede-to-sth
accede-to-sth, UKPRON, əkˈsiːd
acceding, REF, accede-to-sth
accede-to-sth, UKPRON, əkˈsiːd
accelerate, UKPRON, əkˈsel.ə.reɪt
accelerated, UKPRON, əkˈseləreɪtɪd
accelerates, REF, accelerate
accelerate, UKPRON, əkˈsel.ə.reɪt
accelerating, REF, accelerate
accelerate, UKPRON, əkˈsel.ə.reɪt
acceleration, UKPRON, əkˌsel.əˈreɪ.ʃən
accelerations, NA, Not in dictionary
accelerator, UKPRON, əkˈsel.ə.reɪ.tər
accelerators, REF, accelerator
accelerator, UKPRON, əkˈsel.ə.reɪ.tər
accelerometer, UKPRON, əkˌsel.əˈrɒm.ɪ.tər
accelerometers, NA, Not in dictionary
accent, UKPRON, ˈæk.sənt
accented, UKPRON, əkˈsen.tɪd
accenting, REF, accent
accent, UKPRON, ˈæk.sənt
accents, REF, accent
accent, UKPRON, ˈæk.sənt
accentuate, UKPRON, əkˈsen.tʃu.eɪt
accentuated, REF, accentuate
accentuate, UKPRON, əkˈsen.tʃu.eɪt
accentuates, REF, accentuate
accentuate, UKPRON, əkˈsen.tʃu.eɪt
accentuating, REF, accentuate
accentuate, UKPRON, əkˈsen.tʃu.eɪt
accentuation, UKPRON, əkˌsen.tʃuˈeɪ.ʃən
accept, UKPRON, əkˈsept
acceptability, UKPRON, əkˌsep.təˈbɪl.ə.ti
acceptable, UKPRON, əkˈsept.ə.bəl
acceptably, NA, Not in dictionary
acceptance, UKPRON, əkˈsep.təns
acceptances, REF, acceptance
acceptance, UKPRON, əkˈsep.təns
accepted, UKPRON, əkˈsep.tɪd
accepting, UKPRON, əkˈsep.tɪŋ
acceptor, UKPRON, əkˈsep.tə
acceptors, REF, acceptor
acceptor, UKPRON, əkˈsep.tə
accepts, REF, accept
accept, UKPRON, əkˈsept
access, UKPRON, ˈæk.ses
accessed, REF, access
access, UKPRON, ˈæk.ses
accesses, REF, access
access, UKPRON, ˈæk.ses
accessibility, UKPRON, əkˌses.əˈbɪl.ə.ti
accessible, UKPRON, əkˈses.ə.bəl
accessing, REF, access
access, UKPRON, ˈæk.ses
accession, UKPRON, əkˈseʃ.ən
accessions, NA, Not in dictionary
accessories, REF, accessory
accessory, UKPRON, əkˈses.ər.i
accessory, UKPRON, əkˈses.ər.i
accidence, NA, Not in dictionary
accident, UKPRON, ˈæk.sɪ.dənt
accidental, UKPRON, ˌæk.sɪˈden.təl
accidentally, UKPRON, ˌæk.sɪˈden.təl.i
accidentprone, NA, Not in dictionary
accidents, REF, accident
accident, UKPRON, ˈæk.sɪ.dənt
acclaim, UKPRON, əˈkleɪm
acclaimed, UKPRON, əˈkleɪmd
acclaims, REF, acclaim
acclaim, UKPRON, əˈkleɪm
acclamation, UKPRON, ˌæk.ləˈmeɪ.ʃən
acclamations, NA, Not in dictionary
acclimatisation, REF, acclimatization
acclimatization, UKPRON, əˌklaɪ.mə.taɪˈzeɪ.ʃən
acclimatise, REF, acclimatize
acclimatize, UKPRON, əˈklaɪ.mə.taɪz
acclimatised, REF, acclimatize
acclimatize, UKPRON, əˈklaɪ.mə.taɪz
acclimatising, REF, acclimatize
acclimatize, UKPRON, əˈklaɪ.mə.taɪz
accolade, UKPRON, ˈæk.ə.leɪd
accolades, REF, accolade
accolade, UKPRON, ˈæk.ə.leɪd
accommodate, UKPRON, əˈkɒm.ə.deɪt
accommodated, REF, accommodate
accommodate, UKPRON, əˈkɒm.ə.deɪt
accommodates, REF, accommodate
accommodate, UKPRON, əˈkɒm.ə.deɪt
accommodating, UKPRON, əˈkɒm.ə.deɪ.tɪŋ
accommodation, UKPRON, əˌkɒm.əˈdeɪ.ʃən
accommodations, UKPRON, əˌkɒm.əˈdeɪ.ʃənz
accompanied, REF, accompany
accompany, UKPRON, əˈkʌm.pə.ni
accompanies, REF, accompany
accompany, UKPRON, əˈkʌm.pə.ni
accompaniment, UKPRON, əˈkʌm.pən.ɪ.mənt
accompaniments, REF, accompaniment
accompaniment, UKPRON, əˈkʌm.pən.ɪ.mənt
accompanist, UKPRON, əˈkʌm.pə.nɪst
accompany, UKPRON, əˈkʌm.pə.ni
accompanying, UKPRON, əˈkʌm.pə.ni.ɪŋ
accomplice, UKPRON, əˈkʌm.plɪs
accomplices, REF, accomplice
accomplice, UKPRON, əˈkʌm.plɪs
accomplish, UKPRON, əˈkʌm.plɪʃ
accomplished, UKPRON, əˈkʌm.plɪʃt
accomplishes, REF, accomplish
accomplish, UKPRON, əˈkʌm.plɪʃ
accomplishing, REF, accomplish
accomplish, UKPRON, əˈkʌm.plɪʃ
accomplishment, UKPRON, əˈkʌm.plɪʃ.mənt
accomplishments, REF, accomplishment
accomplishment, UKPRON, əˈkʌm.plɪʃ.mənt
accord, UKPRON, əˈkɔːd
accordance, UKPRON, əˈkɔː.dəns
accorded, REF, accord
accord, UKPRON, əˈkɔːd
according, REF, accord
accord, UKPRON, əˈkɔːd
accordingly, UKPRON, əˈkɔː.dɪŋ.li
accordion, UKPRON, əˈkɔː.di.ən
accordionist, NA, Not in dictionary
accordions, REF, accordion
accordion, UKPRON, əˈkɔː.di.ən
accords, REF, accord
accord, UKPRON, əˈkɔːd
accost, UKPRON, əˈkɒst
accosted, REF, accost
accost, UKPRON, əˈkɒst
accosting, REF, accost
accost, UKPRON, əˈkɒst
accosts, REF, accost
accost, UKPRON, əˈkɒst
account, UKPRON, əˈkaʊnt
accountability, UKPRON, əˌkaʊn.təˈbɪl.ə.ti
accountable, UKPRON, əˈkaʊn.tə.bəl
accountancy, UKPRON, əˈkaʊn.tən.si
accountant, UKPRON, əˈkaʊn.tənt
accountants, REF, accountant
accountant, UKPRON, əˈkaʊn.tənt
accounted, REF, account
account, UKPRON, əˈkaʊnt
accounting, UKPRON, əˈkaʊn.tɪŋ
accounts, UKPRON, əˈkaʊnts
accra, NA, Not in dictionary
accredit, UKPRON, əˈkred.ɪt
accreditation, UKPRON, əˌkred.ɪˈteɪ.ʃən
accredited, UKPRON, əˈkred.ɪ.tɪd
accrediting, REF, accredit
accredit, UKPRON, əˈkred.ɪt
accredits, REF, accredit
accredit, UKPRON, əˈkred.ɪt
accreted, NA, Not in dictionary
accretion, UKPRON, əˈkriː.ʃən
accretions, REF, accretion
accretion, UKPRON, əˈkriː.ʃən
accrual, UKPRON, əˈkruː.əl
accruals, REF, accrual
accrual, UKPRON, əˈkruː.əl
accrue, UKPRON, əˈkruː
accrued, REF, accrue
accrue, UKPRON, əˈkruː
accrues, REF, accrue
accrue, UKPRON, əˈkruː
accruing, REF, accrue
accrue, UKPRON, əˈkruː
accumulate, UKPRON, əˈkjuː.mjə.leɪt
accumulated, REF, accumulate
accumulate, UKPRON, əˈkjuː.mjə.leɪt
accumulates, REF, accumulate
accumulate, UKPRON, əˈkjuː.mjə.leɪt
accumulating, REF, accumulate
accumulate, UKPRON, əˈkjuː.mjə.leɪt
accumulation, UKPRON, əˌkjuː.mjəˈleɪ.ʃən
accumulations, REF, accumulation
accumulation, UKPRON, əˌkjuː.mjəˈleɪ.ʃən
accumulative, UKPRON, əˈkjuː.mjə.lə.tɪv
accumulator, UKPRON, əˈkjuː.mjə.leɪ.tər
accumulators, REF, accumulator
accumulator, UKPRON, əˈkjuː.mjə.leɪ.tər
accuracies, NA, Not in dictionary
accuracy, UKPRON, ˈæk.jə.rə.si
accurate, UKPRON, ˈæk.jə.rət
accurately, UKPRON, ˈæk.jə.rət.li
accursed, UKPRON, əˈkɜː.sɪd
accusal, NA, Not in dictionary
accusals, NA, Not in dictionary
accusation, UKPRON, ˌæk.jəˈzeɪ.ʃən
accusations, REF, accusation
accusation, UKPRON, ˌæk.jəˈzeɪ.ʃən
accusative, UKPRON, əˈkjuː.zə.tɪv
accusatory, UKPRON, əˈkjuː.zə.tər.i
accuse, UKPRON, əˈkjuːz
accused, UKPRON, əˈkjuːzd
accuser, UKPRON, əˈkjuː.zər
accusers, REF, accuser
accuser, UKPRON, əˈkjuː.zər
accuses, REF, accuse
accuse, UKPRON, əˈkjuːz
accusing, UKPRON, əˈkjuː.zɪŋ
accusingly, UKPRON, əˈkjuː.zɪŋ.li
accustom, NA, No UK prononciation
accustomed, UKPRON, əˈkʌs.təmd
accustoming, REF, accustom
accustom, NA, No UK prononciation
ace, UKPRON, eɪs
aced, REF, ace
ace, UKPRON, eɪs
acentric, NA, Not in dictionary
acerbic, UKPRON, əˈsɜː.bɪk
acerbity, UKPRON, əˈsɜː.bə.ti
acers, REF, acer
acer, UKPRON, ˈeɪ.sər
aces, REF, ace
ace, UKPRON, eɪs
acetal, NA, Not in dictionary
acetate, UKPRON, ˈæs.ə.teɪt
acetates, REF, acetate
acetate, UKPRON, ˈæs.ə.teɪt
acetic, REF, acetic-acid
acetic-acid, UKPRON, əˌsiː.tɪk ˈæs.ɪd
acetone, UKPRON, ˈæs.ə.təʊn
acetylene, UKPRON, əˈset.ə.liːn
ache, UKPRON, eɪk
ached, REF, ache
ache, UKPRON, eɪk
aches, REF, ache
ache, UKPRON, eɪk
achievable, UKPRON, əˈtʃiː.və.bəl
achieve, UKPRON, əˈtʃiːv
achieved, REF, achieve
achieve, UKPRON, əˈtʃiːv
achievement, UKPRON, əˈtʃiːv.mənt
achievements, REF, achievement
achievement, UKPRON, əˈtʃiːv.mənt
achiever, UKPRON, əˈtʃiː.vər
achievers, REF, achiever
achiever, UKPRON, əˈtʃiː.vər
achieves, REF, achieve
achieve, UKPRON, əˈtʃiːv
achieving, REF, achieve
achieve, UKPRON, əˈtʃiːv
aching, REF, ache
ache, UKPRON, eɪk
achingly, UKPRON, ˈeɪ.kɪŋ.li
achings, NA, Not in dictionary
achromatic, NA, Not in dictionary
achy, UKPRON, ˈeɪ.ki
acid, UKPRON, ˈæs.ɪd
acidic, UKPRON, əˈsɪd.ɪk
acidification, UKPRON, əˌsɪd.ɪ.fɪˈkeɪ.ʃən
acidified, REF, acidify
acidify, UKPRON, əˈsɪd.ɪ.faɪ
acidify, UKPRON, əˈsɪd.ɪ.faɪ
acidifying, REF, acidify
acidify, UKPRON, əˈsɪd.ɪ.faɪ
acidity, UKPRON, əˈsɪd.ə.ti
acidly, UKPRON, ˈæs.ɪd.li
acidophiles, NA, Not in dictionary
acidrain, NA, Not in dictionary
acids, REF, acid
acid, UKPRON, ˈæs.ɪd
acknowledge, UKPRON, əkˈnɒl.ɪdʒ
acknowledged, NA, No UK prononciation
acknowledgement, UKPRON, əkˈnɒlɪdʒmənt
acknowledgements, REF, acknowledgment
acknowledgment, UKPRON, əkˈnɒl.ɪdʒ.mənt
acknowledges, REF, acknowledge
acknowledge, UKPRON, əkˈnɒl.ɪdʒ
acknowledging, REF, acknowledge
acknowledge, UKPRON, əkˈnɒl.ɪdʒ
acknowledgment, UKPRON, əkˈnɒl.ɪdʒ.mənt
acknowledgments, NA, No UK prononciation
acme, UKPRON, ˈæk.mi
acne, UKPRON, ˈæk.ni
acolyte, UKPRON, ˈæk.əl.aɪt
acolytes, REF, acolyte
acolyte, UKPRON, ˈæk.əl.aɪt
aconite, NA, Not in dictionary
acorn, UKPRON, ˈeɪ.kɔːn
acorns, REF, acorn
acorn, UKPRON, ˈeɪ.kɔːn
acoustic, UKPRON, əˈkuː.stɪk
acoustical, NA, Not in dictionary
acoustically, UKPRON, əˈkuː.stɪ.kəl.i
acoustics, UKPRON, əˈkuː.stɪks
acquaint, REF, acquaint-sb-yourself-with-sth
acquaint-sb-yourself-with-sth, UKPRON, əˈkweɪnt
acquaintance, UKPRON, əˈkweɪn.təns
acquaintances, REF, acquaintance
acquaintance, UKPRON, əˈkweɪn.təns
acquainted, UKPRON, əˈkweɪn.tɪd
acquainting, REF, acquaint-someone-with-something
acquaint-someone-with-something, NA, No UK prononciation
acquaints, REF, acquaint-someone-with-something
acquaint-someone-with-something, NA, No UK prononciation
acquiesce, UKPRON, ˌæk.wiˈes
acquiesced, REF, acquiesce
acquiesce, UKPRON, ˌæk.wiˈes
acquiescence, UKPRON, ˌæk.wiˈes.əns
acquiescent, UKPRON, ˌæk.wiˈes.ənt
acquiescing, REF, acquiesce
acquiesce, UKPRON, ˌæk.wiˈes
acquire, UKPRON, əˈkwaɪər
acquired, REF, acquire
acquire, UKPRON, əˈkwaɪər
acquirer, UKPRON, əˈkwaɪ.rər
acquirers, REF, acquirer
acquirer, UKPRON, əˈkwaɪ.rər
acquires, REF, acquire
acquire, UKPRON, əˈkwaɪər
acquiring, REF, acquire
acquire, UKPRON, əˈkwaɪər
acquisition, UKPRON, ˌæk.wɪˈzɪʃ.ən
acquisitions, REF, acquisition
acquisition, UKPRON, ˌæk.wɪˈzɪʃ.ən
acquisitive, UKPRON, əˈkwɪz.ɪ.tɪv
acquisitiveness, UKPRON, əˈkwɪz.ɪ.tɪv.nəs
acquit, UKPRON, əˈkwɪt
acquited, NA, Not in dictionary
acquites, NA, Not in dictionary
acquits, REF, acquit
acquit, UKPRON, əˈkwɪt
acquittal, UKPRON, əˈkwɪt.əl
acquittals, REF, acquittal
acquittal, UKPRON, əˈkwɪt.əl
acquittance, NA, Not in dictionary
acquitted, REF, acquit
acquit, UKPRON, əˈkwɪt
acquitting, REF, acquit
acquit, UKPRON, əˈkwɪt
acre, UKPRON, ˈeɪ.kər
